"","Temp","Humidity","Precipitation","Pressure","Wind","Visibility","Temp_AA","Precipitation_AA","Events"
"2015-06-10",23.0,53.0,0.0,1011.0,5.0,16.0,2.0,-4.06,""
"2015-06-11",27.0,58.0,0.0,1012.0,7.0,11.0,6.0,-4.06,""
"2015-06-12",27.0,54.0,0.0,1013.0,7.0,14.0,5.0,-4.06,""
"2015-06-13",26.0,48.0,0.0,1013.0,9.0,16.0,4.0,-4.06,""
"2015-06-14",25.0,64.0,9.14,1017.0,4.0,14.0,3.0,5.080000000000001,"Rain"
"2015-06-15",23.0,83.0,14.48,1015.0,7.0,5.0,1.0,10.67,"Rain"
"2015-06-16",22.0,74.0,6.86,1012.0,4.0,8.0,0.0,3.0500000000000003,"Rain"
"2015-06-17",23.0,60.0,2.96,1019.0,6.0,15.0,1.0,-0.5,"Rain"
"2015-06-18",20.0,74.0,0.0,1018.0,6.0,16.0,-2.0,-3.56,""
"2015-06-19",26.0,66.0,0.0,1013.0,6.0,15.0,3.0,-3.56,""
"2015-06-20",21.0,70.0,2.96,1017.0,9.0,11.0,-2.0,-0.5,"Rain"
"2015-06-21",27.0,72.0,16.26,1008.0,7.0,8.0,4.0,12.7,"Rain"
"2015-06-22",26.0,62.0,0.0,1014.0,8.0,16.0,3.0,-3.3,""
"2015-06-23",28.0,66.0,0.51,1011.0,9.0,14.0,5.0,-2.79,""
"2015-06-24",24.0,50.0,0.0,1015.0,7.0,16.0,1.0,-3.3,""
"2015-06-25",23.0,49.0,0.0,1016.0,5.0,16.0,0.0,-3.56,""
"2015-06-26",24.0,58.0,0.0,1015.0,7.0,16.0,1.0,-3.3,""
"2015-06-27",18.0,72.0,28.45,1016.0,12.0,10.0,-5.0,25.4,"Rain"
"2015-06-28",20.0,77.0,7.37,1006.0,9.0,9.0,-4.0,4.07,"Rain"
"2015-06-29",21.0,59.0,0.0,1012.0,8.0,16.0,-3.0,-3.05,""
"2015-06-30",24.0,56.0,0.0,1013.0,6.0,16.0,0.0,-3.3,""
"2015-07-01",24.0,68.0,9.91,1009.0,7.0,10.0,0.0,6.86,"Fog Rain"
"2015-07-02",24.0,58.0,0.0,1012.0,2.0,16.0,0.0,-3.3,""
"2015-07-03",23.0,52.0,0.0,1014.0,5.0,16.0,-1.0,-3.05,""
"2015-07-04",22.0,60.0,2.96,1014.0,5.0,16.0,-2.0,-0.5,"Rain"
"2015-07-05",24.0,60.0,0.0,1019.0,2.0,15.0,0.0,-3.05,""
"2015-07-06",26.0,68.0,0.0,1020.0,5.0,14.0,2.0,-3.3,""
"2015-07-07",28.0,76.0,3.05,1016.0,8.0,12.0,4.0,-0.25,"Fog Rain"
"2015-07-08",28.0,72.0,2.96,1014.0,5.0,12.0,4.0,-0.5,""
"2015-07-09",23.0,72.0,7.62,1013.0,7.0,9.0,-1.0,4.0600000000000005,"Rain"
"2015-07-10",26.0,65.0,0.0,1013.0,7.0,14.0,2.0,-3.81,""
"2015-07-11",26.0,45.0,0.0,1018.0,4.0,16.0,2.0,-3.81,""
"2015-07-12",27.0,50.0,0.0,1016.0,3.0,16.0,2.0,-3.81,""
"2015-07-13",27.0,53.0,0.0,1012.0,4.0,15.0,2.0,-4.32,""
"2015-07-14",26.0,74.0,10.67,1004.0,4.0,12.0,1.0,6.61,"Fog Rain"
"2015-07-15",25.0,67.0,3.05,1004.0,7.0,9.0,0.0,-0.7600000000000002,"Fog Rain"
"2015-07-16",22.0,46.0,0.0,1016.0,9.0,16.0,-3.0,-4.06,""
"2015-07-17",23.0,62.0,0.0,1018.0,6.0,16.0,-2.0,-3.81,""
"2015-07-18",26.0,72.0,8.13,1014.0,7.0,14.0,1.0,4.32,"Fog Rain"
"2015-07-19",30.0,62.0,0.0,1009.0,5.0,15.0,5.0,-4.06,""
"2015-07-20",31.0,57.0,0.0,1006.0,7.0,15.0,6.0,-3.81,""
"2015-07-21",28.0,54.0,2.96,1004.0,4.0,15.0,3.0,-0.5,""
"2015-07-22",25.0,44.0,0.0,1008.0,9.0,16.0,0.0,-3.56,""
"2015-07-23",25.0,42.0,0.0,1013.0,6.0,16.0,0.0,-3.81,""
"2015-07-24",26.0,39.0,0.0,1013.0,3.0,16.0,1.0,-3.81,""
"2015-07-25",26.0,49.0,0.0,1015.0,5.0,16.0,1.0,-3.81,""
"2015-07-26",28.0,52.0,2.96,1015.0,7.0,16.0,3.0,-0.5,""
"2015-07-27",26.0,72.0,9.14,1016.0,5.0,14.0,1.0,5.080000000000001,"Rain"
"2015-07-28",29.0,57.0,0.0,1015.0,4.0,15.0,4.0,-4.32,""
"2015-07-29",31.0,51.0,0.0,1014.0,6.0,15.0,6.0,-4.32,""
"2015-07-30",28.0,75.0,49.53,1011.0,7.0,7.0,3.0,45.21,"Fog Rain"
"2015-07-31",27.0,58.0,0.0,1010.0,5.0,15.0,2.0,-4.32,""
"2015-08-01",28.0,46.0,0.0,1009.0,7.0,16.0,4.0,-4.06,""
"2015-08-02",27.0,48.0,0.0,1012.0,3.0,16.0,3.0,-4.06,""
"2015-08-03",28.0,49.0,0.0,1010.0,8.0,16.0,4.0,-4.32,""
"2015-08-04",26.0,61.0,10.92,1011.0,9.0,13.0,2.0,6.86,"Fog Rain"
"2015-08-05",27.0,47.0,0.0,1012.0,5.0,16.0,3.0,-4.06,""
"2015-08-06",24.0,47.0,0.0,1014.0,4.0,16.0,0.0,-4.06,""
"2015-08-07",25.0,48.0,0.0,1013.0,9.0,16.0,1.0,-3.81,""
"2015-08-08",24.0,58.0,0.0,1015.0,6.0,16.0,0.0,-3.81,""
"2015-08-09",25.0,54.0,0.0,1016.0,6.0,16.0,1.0,-3.81,""
"2015-08-10",25.0,57.0,0.0,1017.0,7.0,16.0,1.0,-3.56,""
"2015-08-11",24.0,79.0,29.72,1010.0,7.0,10.0,0.0,26.16,"Rain"
"2015-08-12",26.0,56.0,0.0,1011.0,7.0,16.0,2.0,-3.56,""
"2015-08-13",24.0,47.0,0.0,1017.0,5.0,16.0,0.0,-3.56,""
"2015-08-14",26.0,49.0,0.0,1020.0,5.0,16.0,2.0,-3.81,""
"2015-08-15",28.0,50.0,0.0,1019.0,5.0,16.0,4.0,-3.56,""
"2015-08-16",29.0,51.0,0.0,1019.0,3.0,16.0,5.0,-3.81,""
"2015-08-17",31.0,51.0,0.0,1017.0,5.0,15.0,7.0,-3.56,""
"2015-08-18",28.0,67.0,7.37,1017.0,6.0,13.0,4.0,3.81,"Rain"
"2015-08-19",28.0,70.0,0.0,1017.0,6.0,16.0,4.0,-3.81,""
"2015-08-20",28.0,67.0,0.25,1016.0,9.0,16.0,4.0,-3.31,""
"2015-08-21",26.0,65.0,8.13,1016.0,7.0,14.0,2.0,4.32,"Rain"
"2015-08-22",26.0,45.0,0.0,1019.0,7.0,15.0,2.0,-3.56,""
"2015-08-23",26.0,63.0,0.0,1015.0,6.0,16.0,3.0,-3.56,""
"2015-08-24",27.0,63.0,0.0,1012.0,4.0,16.0,4.0,-3.56,""
"2015-08-25",28.0,53.0,0.0,1011.0,6.0,16.0,5.0,-3.56,""
"2015-08-26",24.0,46.0,0.0,1014.0,6.0,16.0,1.0,-3.05,""
"2015-08-27",24.0,50.0,0.0,1017.0,5.0,16.0,1.0,-3.3,""
"2015-08-28",23.0,50.0,0.0,1021.0,4.0,16.0,0.0,-3.3,""
"2015-08-29",25.0,47.0,0.0,1021.0,3.0,16.0,2.0,-3.05,""
"2015-08-30",27.0,61.0,3.3,1018.0,6.0,14.0,4.0,0.25,"Rain"
"2015-08-31",29.0,56.0,0.0,1016.0,7.0,14.0,6.0,-3.05,""
"2015-09-01",28.0,54.0,0.0,1017.0,4.0,13.0,5.0,-3.3,""
"2015-09-02",28.0,59.0,0.0,1015.0,3.0,12.0,6.0,-3.3,""
"2015-09-03",29.0,51.0,0.0,1011.0,3.0,10.0,7.0,-3.3,""
"2015-09-04",26.0,60.0,0.0,1018.0,11.0,12.0,4.0,-3.56,""
"2015-09-05",24.0,52.0,0.0,1024.0,7.0,16.0,2.0,-3.3,""
"2015-09-06",24.0,54.0,0.0,1022.0,2.0,16.0,2.0,-3.3,""
"2015-09-07",27.0,58.0,0.0,1018.0,7.0,16.0,5.0,-3.56,""
"2015-09-08",31.0,50.0,0.0,1015.0,8.0,16.0,9.0,-3.3,""
"2015-09-09",28.0,64.0,2.96,1012.0,6.0,16.0,7.0,-0.5,""
"2015-09-10",24.0,88.0,40.13,1010.0,10.0,7.0,3.0,36.83000000000001,"Fog Rain"
"2015-09-11",23.0,68.0,0.0,1008.0,8.0,15.0,2.0,-3.3,""
"2015-09-12",23.0,76.0,7.37,1007.0,7.0,14.0,2.0,3.81,"Rain"
"2015-09-13",22.0,68.0,1.02,1006.0,10.0,15.0,1.0,-2.54,"Rain"
"2015-09-14",20.0,49.0,0.0,1017.0,10.0,16.0,-1.0,-3.56,""
"2015-09-15",23.0,46.0,0.0,1025.0,4.0,16.0,3.0,-3.81,""
"2015-09-16",25.0,49.0,0.0,1025.0,2.0,16.0,5.0,-3.81,""
"2015-09-17",26.0,48.0,0.0,1021.0,4.0,16.0,6.0,-3.81,""
"2015-09-18",26.0,51.0,0.0,1016.0,3.0,16.0,7.0,-3.81,""
"2015-09-19",24.0,64.0,0.0,1014.0,4.0,15.0,5.0,-3.81,""
"2015-09-20",22.0,56.0,0.0,1015.0,13.0,16.0,3.0,-3.81,""
"2015-09-21",19.0,44.0,0.0,1022.0,12.0,16.0,0.0,-3.81,""
"2015-09-22",19.0,50.0,0.0,1025.0,11.0,16.0,0.0,-3.81,""
"2015-09-23",21.0,49.0,0.0,1024.0,5.0,16.0,3.0,-3.56,""
"2015-09-24",22.0,54.0,0.0,1025.0,7.0,16.0,4.0,-3.81,""
"2015-09-25",21.0,55.0,0.0,1028.0,10.0,16.0,3.0,-3.56,""
"2015-09-26",19.0,55.0,0.0,1030.0,10.0,16.0,1.0,-3.81,""
"2015-09-27",18.0,65.0,0.0,1030.0,8.0,16.0,0.0,-3.81,""
"2015-09-28",22.0,71.0,0.0,1024.0,5.0,15.0,5.0,-4.06,""
"2015-09-29",26.0,73.0,2.79,1017.0,4.0,15.0,9.0,-1.2699999999999996,"Rain"
"2015-09-30",21.0,78.0,32.0,1008.0,13.0,12.0,4.0,27.94,"Rain"
"2015-10-01",16.0,70.0,2.29,1019.0,14.0,16.0,-1.0,-1.52,"Rain"
"2015-10-02",12.0,79.0,27.43,1023.0,20.0,11.0,-5.0,23.87,"Rain"
"2015-10-03",11.0,76.0,8.89,1026.0,19.0,10.0,-5.0,5.33,"Rain"
"2015-10-04",14.0,57.0,0.0,1026.0,17.0,16.0,-2.0,-3.3,""
"2015-10-05",16.0,58.0,0.0,1022.0,10.0,16.0,0.0,-3.81,""
"2015-10-06",17.0,58.0,0.0,1016.0,3.0,16.0,1.0,-3.56,""
"2015-10-07",19.0,58.0,0.0,1015.0,5.0,16.0,3.0,-3.81,""
"2015-10-08",19.0,61.0,0.0,1020.0,5.0,16.0,4.0,-3.56,""
"2015-10-09",21.0,75.0,22.61,1012.0,7.0,11.0,6.0,18.8,"Fog Rain"
"2015-10-10",14.0,51.0,0.0,1018.0,4.0,16.0,-1.0,-4.06,""
